Team,Champion,Runner-up,SF_Loser_1,SF_Loser_2,Eliminated
Brazil,0.1195,0.0782,0.0539,0.0543,0.6941
Argentina,0.1109,0.0755,0.0542,0.0578,0.7016
France,0.1057,0.0689,0.0512,0.0609,0.7133
Spain,0.0954,0.0709,0.0539,0.051,0.7288
England,0.0833,0.0681,0.0574,0.051,0.7402
Portugal,0.0772,0.0638,0.0492,0.054,0.7558
Netherlands,0.0695,0.0589,0.0505,0.0521,0.769
Germany,0.045,0.0464,0.0465,0.0432,0.8189
Belgium,0.045,0.0459,0.0417,0.045,0.8224
Croatia,0.0313,0.0407,0.0413,0.0364,0.8503
Morocco,0.0294,0.0378,0.0354,0.041,0.8564
Colombia,0.0279,0.0379,0.0359,0.0329,0.8654
USA,0.0224,0.0284,0.0307,0.0271,0.8914
Uruguay,0.0194,0.0289,0.0295,0.0279,0.8943
Switzerland,0.0157,0.0259,0.0279,0.0288,0.9017
Mexico,0.0153,0.0249,0.0285,0.0278,0.9035
Japan,0.0125,0.0188,0.0237,0.022,0.923
Senegal,0.012,0.0184,0.0263,0.0243,0.919
Korea Republic,0.0078,0.0171,0.0212,0.0219,0.932
Ecuador,0.0057,0.0114,0.0175,0.016,0.9494
Australia,0.0055,0.0109,0.0163,0.0163,0.951
Canada,0.005,0.0123,0.0156,0.017,0.9501
Egypt,0.0042,0.0127,0.0171,0.0151,0.9509
Iran,0.0037,0.0122,0.0188,0.0194,0.9459
Bosnia and Herzegovina,0.0032,0.0053,0.0114,0.0129,0.9672
Austria,0.003,0.007,0.0139,0.0108,0.9653
Tunisia,0.0027,0.006,0.0105,0.011,0.9698
Sweden,0.0026,0.0042,0.0101,0.009,0.9741
Algeria,0.0026,0.0081,0.0113,0.0123,0.9657
Czechia,0.0023,0.0054,0.008,0.0091,0.9752
Turkiye,0.002,0.0065,0.008,0.0104,0.9731
Norway,0.0018,0.0056,0.0097,0.0105,0.9724
Ghana,0.0018,0.0046,0.0096,0.0097,0.9743
Scotland,0.0018,0.0055,0.0086,0.0084,0.9757
Saudi Arabia,0.0016,0.0039,0.0102,0.008,0.9763
Cote d'Ivoire,0.0016,0.0058,0.0082,0.0088,0.9756
Panama,0.0007,0.0016,0.004,0.0043,0.9894
Qatar,0.0005,0.0024,0.0037,0.0037,0.9897
DR Congo,0.0005,0.001,0.0021,0.003,0.9934
Jordan,0.0004,0.0013,0.0028,0.0033,0.9922
Paraguay,0.0004,0.0029,0.0047,0.0057,0.9863
Cabo Verde,0.0004,0.0013,0.0032,0.002,0.9931
Uzbekistan,0.0003,0.0015,0.0035,0.0026,0.9921
Haiti,0.0002,0.0002,0.0017,0.0015,0.9964
Iraq,0.0001,0.0008,0.0029,0.0028,0.9934
South Africa,0.0001,0.0024,0.0035,0.0035,0.9905
New Zealand,0.0001,0.001,0.0024,0.002,0.9945
Curacao,0.0,0.0008,0.0018,0.0015,0.9959
